folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-11_10-33-16_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1.0,0.9110838761450204,0.6618055555555555,0.9002151418911997,,,,,,1.572889431700576
2025-4-11_10-39-5_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000000.0,0.9110677273223572,0.6609815523842673,0.9002151418911997,,,,,,1.5720492797066243
2025-4-11_10-34-57_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100.0,0.9109821156561116,0.66075465136498,0.9000614691117713,,,,,,1.5717367670210916
2025-4-11_10-34-7_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10.0,0.9110272216465995,0.6606271777003484,0.9002151418911997,,,,,,1.571654399346948
2025-4-11_10-37-27_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100000.0,0.9110323755261729,0.6605153203342619,0.9001126933715807,,,,,,1.5715476958604349
2025-4-11_10-38-17_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000000.0,0.910990781809172,0.6604003481288075,0.9000614691117713,,,,,,1.5713911299379797
2025-4-11_10-36-37_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000.0,0.9110668301655427,0.6598189415041783,0.899907796332343,,,,,,1.570885771669721
2025-4-11_10-39-55_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100000000.0,0.91101662756081,0.6597004528039011,0.899907796332343,,,,,,1.570717080364711
2025-4-11_10-40-46_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000000000.0,0.9110127716953516,0.6597004528039011,0.899907796332343,,,,,,1.5707132244992525
2025-4-11_10-35-48_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000.0,0.9110153868120238,0.6595855824481979,0.8998565720725336,,,,,,1.5706009692602216
2025-4-11_10-41-36_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000000000.0,0.9110129053144514,0.659466991813273,0.8998565720725336,,,,,,1.5704798971277243
2025-4-11_10-32-25_experiment-0,survival60,LogR,True,1,1,0.0,1,3,0.1,0.91102042616094,0.6591186204493991,0.8997541235529146,,,,,,1.570139046610339
2025-4-11_10-31-36_experiment-0,survival60,LogR,True,1,1,0.0,1,3,0.01,0.9102765113656408,0.6539404553415061,0.8987808626165352,,,,,,1.5642169667071468
2025-4-11_10-21-9_experiment-0,survival12,LogR,True,1,1,0.0,1,3,0.1,0.835309853057969,0.7091305400823444,0.7647750085687705,,,,,,1.5444403931403135
2025-4-11_10-26-11_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100000.0,0.8352815329846562,0.7091315646340727,0.7643343289428586,,,,,,1.544413097618729
2025-4-11_10-22-0_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1.0,0.8352070321040364,0.7086280911784268,0.764040542525584,,,,,,1.5438351232824632
2025-4-11_10-24-31_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000.0,0.8352713950216857,0.7082728592162555,0.7637957205111884,,,,,,1.5435442542379412
2025-4-11_10-27-49_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000000.0,0.835268561066619,0.7080610021786492,0.7637957205111884,,,,,,1.5433295632452682
2025-4-11_10-25-21_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000.0,0.8352257693189791,0.7079570935094843,0.764040542525584,,,,,,1.5431828628284634
2025-4-11_10-22-51_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10.0,0.8352380400522578,0.7079399661099007,0.7636977917054302,,,,,,1.5431780061621585
2025-4-11_10-27-1_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000000.0,0.8352619874595054,0.7078338781934859,0.7636977917054302,,,,,,1.5430958656529912
2025-4-11_10-23-42_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100.0,0.8352318267762009,0.7078264027601237,0.763648827302551,,,,,,1.5430582295363244
2025-4-11_10-30-20_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000000000.0,0.8352563974587895,0.7076774037297168,0.763599862899672,,,,,,1.5429338011885063
2025-4-11_10-29-30_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000000000.0,0.8352556086259358,0.7076774037297168,0.763599862899672,,,,,,1.5429330123556526
2025-4-11_10-28-40_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100000000.0,0.8352565143229159,0.7075991522858007,0.7635508984967928,,,,,,1.5428556666087165
2025-4-11_10-20-18_experiment-0,survival12,LogR,True,1,1,0.0,1,3,0.01,0.8348774168353488,0.7076717973578961,0.7637957205111884,,,,,,1.5425492141932449
